,code,date,close,open,low,high,volume,avg_price,turnover_rate
469695,002233,20170922,31.002552,31.30176,30.795408,31.577952000000003,13946099.0,31.0911636,1.7355
469696,002234,20170922,32.014278000000004,31.431822,31.223802,32.201496,9885131.0,31.93252614,4.795
469697,002237,20170922,93.812255,93.32322499999998,93.07871,94.38279,6837729.0,93.81796035,0.8178
469698,002239,20170922,45.545141,45.997876000000005,45.364047,47.265534,62989506.0,46.11468163000001,3.4191
469699,002242,20170922,75.993617,76.07399099999999,75.55156,76.676796,4681781.0,76.07559848,0.6119
469700,002243,20170922,16.812171,16.896316,16.66071,16.963632,2553400.0,16.81402219,0.6997
469701,002245,20170922,126.064138,130.029279,125.79068,130.576195,23957040.0,127.85802248,2.6343
469702,002254,20170922,73.249218,72.01152,71.39267099999999,73.924326,20459422.0,72.61349129999999,3.3511
469703,002258,20170922,43.86879,44.013214,43.76047199999999,44.22985,2124981.0,43.9121172,0.4058
469704,002261,20170922,98.832343,95.494096,95.291778,98.832343,14061769.0,97.60933069,1.5134
469705,002262,20170922,117.1394,117.474084,115.968006,118.394465,4246732.0,116.77375773,0.4927
469706,002267,20170922,19.459058,19.690438,19.459058,19.713576,2981882.0,19.50741642,0.2681
469707,002274,20170922,18.55612,18.310072,18.04352,18.802168,37977150.0,18.41382224,7.7452
469708,002276,20170922,47.32659099999999,47.626839,46.951281,48.114742,15067759.0,47.41366292,1.608
469709,002283,20170922,28.568636,27.830852,27.707888,29.10148,31432179.0,28.49362796,2.7966
469710,002285,20170922,165.575808,171.75615499999998,163.85106,172.187342,38626521.0,167.21288131,2.2694
469711,002287,20170922,44.524,44.835668,44.30138,45.225253,839010.0,44.64900113,0.2067
469712,002291,20170922,17.94416,17.788874,17.547318,17.978668,9705232.0,17.789909240000004,2.671
469713,002292,20170922,118.24263,120.221255,117.213745,120.3004,9124721.0,118.43178655,1.2004
469714,002302,20170922,76.23229199999999,78.29590499999999,75.989514,78.86238699999998,13977684.0,77.06380664999999,1.3541
469715,002307,20170922,38.616168,39.533728,38.485088,39.691024,12018968.0,38.75222904,2.1566
469716,002310,20170922,948.682118,938.196924,935.917534,954.608532,15560833.0,945.19921008,1.0236
469717,002312,20170922,121.593368,124.68781,120.13716,125.59794,30878042.0,122.15218782,2.8518
469718,002314,20170922,14.149375,14.26257,14.058819,14.353126,5448302.0,14.19148354,0.7385
469719,002317,20170922,117.264728,118.86972,116.963792,118.970032,4479734.0,117.71011328000002,0.6893
469720,002318,20170922,43.855812,43.293558,42.986874,44.009154,8055764.0,43.50977021999999,0.9872
469721,002320,20170922,56.30451,57.1545,54.92694,57.33036,3757106.0,56.0193237,1.8146
469722,002324,20170922,57.173124,57.362718,56.899266,58.03683,568335.0,57.2268423,0.3563
469723,002332,20170922,20.89989,21.19953,20.62522,21.19953,7774311.0,20.8866559,1.0781
469724,002335,20170922,116.248992,113.36976,113.099832,116.81884,4692864.0,115.9550704,2.0379
469725,002344,20170922,35.670308,35.670308,35.500043999999995,35.883137999999995,3619700.0,35.67328762,0.328
469726,002349,20170922,70.09850800000001,70.09850800000001,69.944106,70.407312,2304970.0,70.18651714,0.387
469727,002351,20170922,50.593432,50.952888,50.189044,51.132616,6603406.0,50.5080612,2.4648
469728,002367,20170922,65.750508,66.051288,65.750508,66.412224,4274442.0,65.9369916,0.8221
469729,002378,20170922,28.654132,28.633338,28.092694,29.610656,38011293.0,28.92403812,4.1172
469730,002389,20170922,151.765537,152.379227,150.35405,155.140832,13926915.0,152.84869985,2.5934
469731,002390,20170922,86.935053,87.24224399999999,86.218274,87.44703799999998,4407400.0,86.74357060999999,0.4319
469732,002396,20170922,63.774162,62.24205,61.539832,63.80608099999999,8640536.0,62.93884177,1.6178
469733,002400,20170922,134.011341,133.276025,133.092196,136.768776,29693501.0,134.66209566,1.8003
469734,002402,20170922,121.07264399999998,119.637,119.397726,121.910103,8587752.0,120.64434353999998,1.3451
469735,002405,20170922,68.07039999999999,66.7409,65.67729999999999,68.57561,39703765.0,67.2277629,3.8684
469736,002413,20170922,57.78746999999999,57.39234199999999,56.404522,58.083816,5604919.0,57.32023114,0.7261
469737,002416,20170922,22.882707,22.713675,22.438997999999994,22.988352,3318394.0,22.72508466,0.3404
469738,002421,20170922,122.13828,125.67852,121.076208,128.156688,76921270.0,124.51378104,5.4571
469739,002424,20170922,174.66792,174.356013,173.108385,174.979827,3929191.0,174.10232864,0.5392
469740,002428,20170922,66.38071500000001,67.121217,65.58732,67.438575,20805958.0,66.53093112,3.2308
469741,002434,20170922,81.09996,83.21394,80.45936,83.27799999999999,11758712.0,81.8757266,1.1539
469742,002435,20170922,29.176984999999995,28.93796,28.93796,29.47975,828040.0,29.21411355,0.4507
469743,002436,20170922,83.353636,83.353636,81.947363,84.632066,23653600.0,83.34852228,2.3955
469744,002440,20170922,55.993175,57.26094499999999,55.72151,57.26094499999999,7488566.0,56.2099033,1.2208
469745,002446,20170922,60.395544,56.784672,56.24056799999999,60.494472,16318385.0,58.95861479999999,3.7205
469746,002453,20170922,35.449805,34.82933,34.208855,37.55942,20336909.0,35.8262265,3.7697
469747,002456,20170922,416.001012,412.134075,408.063615,419.664426,20902624.0,416.08445643,0.8139
469748,002461,20170922,11.668272,11.58696,11.525976,11.708927999999998,1789500.0,11.61064212,0.2631
469749,002467,20170922,54.36507,53.13976,52.36588,56.17079,28659260.0,54.48889079999999,4.3613
469750,002472,20170922,54.561078,54.561078,52.907712,54.561078,5680994.0,53.64371038,1.055
469751,002481,20170922,123.324096,123.87465,123.324096,125.89334800000002,9080084.0,124.68946992,0.8056
469752,002484,20170922,46.867863,48.188726,46.45794,48.27982,7922178.0,47.137501240000006,1.0412
469753,002488,20170922,50.203041,51.216016,50.12200299999999,51.621206,6812582.0,50.93197781,1.7695
469754,002489,20170922,69.38124,70.03578,69.16306,70.14487,7182887.0,69.5077844,0.383
469755,002498,20170922,28.647375,28.189017,28.036231,28.800161000000003,15265691.0,28.36854055,0.474
